char_name,description,extra
Susan Bones,"Student at Hogwarts, 1991-1998 (PS7); sorted into Hufflepuff. Read More",
Madame Bonhabille,Madame Bonhabille was a nineteenth-century hatmaker in Paris who was commissioned by Eupraxia Mole to make Peeves a new hat in 1876. Read More,
Brother Boniface,Brother Boniface was a Franciscan monk in medieval Worcestershire who made turnip wine (FB). Read More,
Mr. Boot,"Mr. Boot was a wizard who took his family to America in the early 1600s in search of adventure. On the journey across the Atlantic, Mr. Boot and his family became friends with a Muggle man named James Steward. Once in America, the Boots encountered a Hidebehind in the woods. Read More",
Mrs. Boot,"Mrs. Boot was a witch who took her family to America in the early 1600s in search of adventure. On the journey across the Atlantic, Mrs. Boot and her family became friends with a Muggle man named James Steward. Once in America, the Boots encountered a Hidebehind in the woods. Read More",
Albert Boot,"Albert Boot was the fifth Minister for Magic, in office 1747-1752. He couldn’t handle a goblin rebellion and resigned (Pm). Read More",
Chadwick Boot,"Chadwick Boot, spellbook author and one of the founders of Ilvermorney wizarding school, was the elder son of wizard parents who foolishly wandered into the wilds of 17th century America and were killed by a Hidebehind. He and his younger brother Webster were rescued by Isolt Sayre, who taught them… Read More",
Gladys Boothby,"Gladys Boothby created the Moontrimmer racing broom in 1901, but was unable to keep up with commercial demand for it by Quidditch enthusiasts who wanted the broom’s new height-flying features (QA9). Read More",
Webster Boot,"Webster Boot was the younger son of Mr. and Mrs. Boot who was taken care of by Isolt Sayre after his parents were attacked by a Hidebehind in Massachusetts. Webster and his brother Chadwick were taught by Isolt Sayre, and eventually adopted by her and… Read More",
Libatius Borage,"Libatius Borage was a famous potioneer and author. Borage attended the Castelobruxo Wizarding School in Brazil (Pm). He wrote several books, including: Advanced Potion-Making, Asiatic Anti-Venoms and Have Yourself a Fiesta in a Bottle!… Read More",
Mr. Borgin,"Proprietor of Borgin and Burkes of Knockturn Alley; an oily, smooth-talking fellow who fawned on Lucius Malfoy during the summer of 1992 but was less than impressed after his customers’ departure (CS4). Draco visited his shop again in late July 1996 to force the shopkeeper to help him repair a… Read More",
Borgin,"Proprietor of Borgin and Burkes of Knockturn Alley; an oily, smooth-talking fellow who fawned on Lucius Malfoy during the summer of 1992 but was less than impressed after his customers’ departure (CS4). Draco visited his shop again in late July 1996 to force the shopkeeper to help him repair… Read More",
Boris the Bewildered,Boris the Bewildered is the name of the subject of a statue located on the fifth floor of Hogwarts four doors down from the Prefects’ bathroom (GF23). Boris looks lost and has his gloves on the wrong hands (GF25). Read More,
Boris Vulchanov,"Boris Vulchanov was a Beater for the Bulgaria National Team during the Quidditch World Cup tournament in 2014. He and the other Bulgarian Beater at the 2014 tournament, Dimitar Draganov, are considered to be a “competent” duo (QWC). Matches Their first fixture of the tournament was an easily won match against… Read More",
Craig Bowker Jr.,Craig Bowker Jr. was a Slytherin Hogwarts student. Read More,
Bowman Wright,"Bowman Wright was a Metal Charmer and was born in Godric’s Hollow in 1492*. His father was a Muggle and mother a Witch (FW, WoM, DH16). Combining his love of science and sport, Wright invented the Golden Snitch, which immediately replaced the endangered … Read More",
Bozo,Bozo was a paunchy man who worked as a photographer for the Daily Prophet. Read More,
Bradley,"Bradley was a Hogwarts student in Ravenclaw House in the 1990s and was a Chaser on the Ravenclaw Quidditch team. Bradley played in the match against Gryffindor for the Quidditch Cup towards the end of the 1995-96 school year. Ron Weasley saved Bradley’s attempts on goal, and… Read More",
Barberus Bragge,"Barberus Bragge was Chief of the Wizards’ Council in 1269. Bragge attended a Quidditch match in 1269 and offered 150 Galleons to whomever caught the tiny Golden Snidget bird which he released onto the pitch. At that time, 150 Galleons was the equivalent of over a million… Read More",
Bragging Young Wizard,This bragging young wizard claimed to be a vampire hunter when trying to impress three Veela girls in the forest near the Quidditch World Cup campsite (GF9). Read More,
Betty Braithwaite,Betty Braithwaite was a Daily Prophet reporter who landed an exclusive interview with Rita Skeeter to talk about Skeeter’s then upcoming book “The Life and Lies of Albus Dumbledore” (DH2). Read More,
Bran the Bloodthirsty,Bran the Bloodthirsty was a giant who was fond of eating bread made with ground bones and washed down with the blood of an Englishman. Was slain by a boy named Jack. Read More,
Rudolf Brand,Rudolf Brand is a Quidditch player and the Captain of the Heidelberg Harriers Quidditch team in the 1950s. Brand was the captain of the Harriers when they played what has been termed “the finest match ever seen” – an exciting seven-day marathon against the Holyhead Harpies in… Read More,
Maximus Brankovitch III,Maximus Brankovitch III is a famous American Quidditch player who played Seeker for the Fitchburg Finches Quidditch team. He was also the Seeker and Team Captain of the United States National Team (QA8). Read More,
Brian Gadwilde,Brian Gadwilde was the author of the book Jiggery Pokery and Hocus Pocus. Read More,
Bridget Wenlock,"Bridget Wenlock was a famous arithmancer, noted for her groundbreaking theories on the magical properties of the number seven (FW). Wenlock was very protective of her work and used a variety of methods to prevent anyone from seeing her writing, including invisible ink. Unfortunately, Wenlock was also… Read More",
Bridget Wenlock's cousin,,
Cormac O’Brien,Cormac O’Brien was one of MACUSA’s original twelve aurors (Pm). Read More,
British envoy to the International Confederation of Wizards,"The British envoy is an English political figure who, in 1926, was present at MACUSA to discuss how to capture criminal Gellert Grindelwald (WFT). Read More",
Karl and Kevin Broadmoor,"Karl and Kevin Broadmoor are brothers who were the Beaters for the Falmouth Falcons Quidditch team. They are known their misbehaviour on the pitch. During the eleven years that they played Quidditch for the Falcons (1958-1969), they received fourteen suspensions from the Department of Magical Games… Read More",
Brodrig the Boss-Eyed,Bodrig the Boss-Eyed was the spokesgoblin of the Brotherhood of Goblins (B.O.G) (DP3). Read More,
Lavender Brown,"Lavender Brown was a Gryffindor student in the same year as Harry Potter. She was best friends with Parvati Patil. Lavender tended to squeal and giggle a lot, and generally gave the impression of her being silly. She was keen on Divination, having been convinced of Professor… Read More",
Bruno Schmidt,"Bruno Schmidt was a six-year-old German wizard who hit an Erkling over the head with his father’s collapsible cauldron and killed it, which was fortunate because Erklings eat children (FB). Read More",
Brutus Malfoy,Brutus Malfoy was an influential wizard and the editor of the anti-muggle periodical Warlock at War (TBB/WHP). Read More,
Brutus Scrimgeour,Brutus Scrimgeour is the author of The Beaters’ Bible (QA6). He also wrote a promotional blurb for the front of Quidditch Through the Ages (QA). Read More,
Bruno Bruunhart,"Bruno Bruunhart played Seeker for Liechtenstein’s National Team at the Quidditch World Cup tournament in 2014 (QWC). Appearances The team qualified for the 2014 tournament with a shock win over the China (QWC). Their first match against Chad became a three-day marathon, ending when Bruunhart finally caught the… Read More",
Angus Buchanan,"Angus Buchanan was a Squib who rose to fame playing rugby for the Scottish national side. Angus Buchanan was the only non-magical member of the Buchanan family of the Scottish Borders. Fearing the wrath of their father, the Buchanan siblings helped to conceal Angus’ lack of magic, even… Read More",
Buckbeak,"Buckbeak is a grey hippogriff, one of the group of the creatures Hagrid brought to his first Care of Magical Creatures lesson with the third year students in the fall of 1993. Harry Potter was the first student to attempt to befriend a hippogriff in that class, and Buckbeak was the… Read More",
Buckley Cooper,Buckley Cooper was a wizard who wrote a letter to the Daily Prophet asking for legal advice on the running feud he’d been having with his brother (DP3)… Read More,
Zygmunt Budge,"Zygmunt Budge is considered to be one of the most accomplished Potioneers the world has ever known (according to him). He is the author of The Book of Potions.  Budge was a student at Hogwarts in the 1500s and excelled at potion making. He was rather boastful and proud, and… Read More",
Bulstrode family,"A Wizarding Pure-blood family, listed in the ‘Pure-Blood Directory’ (c. 1930) as one of the ‘Sacred Twenty-Eight’ families (Pm). A notable member of this family is Millicent Bulstrode. She attended Hogwarts at the same time as Harry, Ron and Hermione. Read More",
K. Bundy,K. Bundy was a Hogwarts student who borrowed Quidditch Through the Ages from the Hogwarts Library one October during Harry Potter’s time at Hogwarts (QA). Read More,
Bungy the Budgie,"Bungy the Budgie was a budgerigar, or budgie, that could water-ski. He resided at the Five Feathers in Barnsley (OP1). Read More",
Bunty,"Bunty was Newt Scamander’s assistant (CG). Bunty helped Newt look after the beasts in his basement menagerie. She had a passion for creatures and an unrequited love for Newt, who cared about her safety but was clueless about her feelings for him (CG). Read More",
Charity Burbage,"Charity Burbage was a professor of Muggle Studies at Hogwarts (DH2). She wrote an impassioned defense of Muggle-borns in the Daily Prophet during the summer of 1997; in retaliation, she was taken prisoner, then killed personally by Voldemort less than a week later at Malfoy Manor, at which point… Read More",
Burdock Muldoon,"Burdock Muldoon was Chief of Wizards’ Council in the mid-14th century. Muldoon tried to define the difference between a “being” and a “beast.” He decreed that any creature that had two legs was a “being,” and therefore deserving of better representation and treatment. When he called a summit meeting to discuss… Read More",
Caractacus Burke,"One of the founders of Borgin and Burkes, a shop in Knockturn Alley. The man behind the counter when Lucius Malfoy came in (CS4), however, was Mr. Borgin. Read More",
Burke family,"A Wizarding Pure-blood family, listed in the ‘Pure-Blood Directory’ (c. 1930) as one of the ‘Sacred Twenty-Eight’ families (Pm:Pure-Blood). Notable family members include: Caractacus Burke Herbert Burke… Read More",
Cadmus Peverell,"The second Peverell brother, described as “arrogant,” told Death he wanted to call people back from the grave, so Death gave him the Resurrection Stone (DH21, TBB/TTB). Cadmus used the stone to call back a young woman he loved and wanted to marry in life, but she was unhappy… Read More",
Cadwallader,"Cadwallader is a burly Chaser on the Hufflepuff Quidditch team in the 1990s. Luna Lovegood misidentifies him while commentating their match with Gryffindor. She thought his name might be Bibble or Buggins. During the match, Cadwallader scored at least two goals (HBP19). Read More",
Calchas,"Calchas was an Ancient Greek seer who was defeated by his rival, Mopsus, in a contest of their powers (FW). Read More",
Calderon-Boot family,"A wizarding family. Notable members of the Calderon-Boot family include Chadwick Boot, one of the founders of Ilvermorny Wizarding School and author of Chadwick’s Charms Vols. I-VII. He married Josefina Calderon, a healer from Mexico. Their descendants in the Calderon-Boot family are among the most prominent in North America today. Read More",
Callidora Black,Daughter of Arcturus and Lysandra Black. Two siblings: sister Charis and Cedrella (BFT). Married to Harfang Longbottom (BFT). Children: One son and one daughter (BFT). Read More,
Angus Campbell,"Angus Campbell is a Chaser for the Montrose Magpies Quidditch team in the 1990s. Hired as the replacement Chaser (after the manager of the Magpies fired Alasdair Maddock), Campbell scored seven goals against the Caerphilly Catapults in his first game for the team. Who needs that Mugglemanic Maddock… Read More",
Lennox Campbell,"Lennox Campbell is a Quidditch player who played Seeker for the Montrose Magpies Quidditch team in the 1990s (DP2). During a match against the Kenmare Kestrels, Campbell understandably missed the Snitch kicked at him by Magpies Chaser Alasdair Maddock, allowing the opposing Seeker to catch… Read More",
Cantankerus Nott,"Cantankerus Nott was a member of the pure-blood Nott family, and widely believed to be the author of the infamous ‘Pure-Blood Directory’ in the 1930s. Read More",
S. Capper,S. Capper was a Hogwarts student who borrowed Quidditch Through the Ages from the Hogwarts library one winter during Harry Potter’s time at Hogwarts (QA). Read More,
Caractacus Burke,"One of the founders of Borgin and Burkes, a shop in Knockturn Alley. The man behind the counter when Lucius Malfoy came in (CS4), however, was Mr. Borgin. Read More",
Caradoc Dearborn,Caradoc Dearborn was a member of the Order of the Phoenix during the first war against Voldemort. He went missing and was presumed dead (OP9). Harry saw him among the members of the original Order in Mad-Eye Moody’s photograph at Grimmauld Place. Read More,
O.W.L. Care of Magical Creatures Examiner,"The O.W.L. Care of Magical Creatures examiner who examines Harry is a “plump little witch”, and seems to be less stern than some of the others as she smiles at Harry when the exam is over (OP31). The students are tested on Knarls, Fire Crabs,… Read More",
Carlos Lopez,Carlos Lopez was one of MACUSA’s original twelve aurors (Pm). Read More,
Carlotta Pinkstone,"Carlotta Pinkstone was an activist famous for campaigning to lift the Statute of Secrecy, revealing the wizarding world to Muggles. She has been imprisoned multiple times for defying the Statute. JKR’s Wizard of the Month for November 2005. Read More",
Eddie Carmichael,"Eddie Carmichael was a Hogwarts student who earned nine “Outstanding” O.W.L.s the year before Harry, Ron, and Hermione sat their O.W.L.s. He assured Harry and Ron that the credit belonged solely to Baruffio’s Brain Elixir (OP31). Read More",
Rancorous Carpe,"Rancorous Carpe was a Hogwarts caretaker (circa 1876) who made a spectacularly unsuccessful attempt to trap Peeves and rid the castle of him. He put out various weapons to lure the Poltergeist, and hoped to drop a “vast enchanted bell jar” on top of him and keep him there with… Read More",
Carrow,Carrow was an acolyte of Gellert Grindelwald in the 1920s. Carrow assisted Grindelwald in securing a home in Paris along with the other acolytes and was the one who performed the Killing Curse on the young child who was found in the home after the adult residents had been… Read More,
Alecto Carrow,"Alecto and Amycus Carrow (JKR) were Death Eaters, a brother and sister, part of the group of Death Eaters that invaded Hogwarts in June of 1997 (HBP27); Snape implies that they were never sent to Azkaban (HBP2). When Voldemort took over Hogwarts, Alecto Carrow became the Muggle Studies teacher… Read More",
Amycus Carrow,"Amycus Carrow was a squat, “lumpy” looking wizard with a lopsided leer and a wheezy giggle. Part of the group of Death Eaters who participated in the Battle of the Tower, where Amycus egged on Draco to kill Dumbledore, and had fun trying to curse Ginny Weasley (HBP27). Snape… Read More",
Carrow family,"A Wizarding Pure-blood family, listed in the ‘Pure-Blood Directory’ (c. 1930) as one of the ‘Sacred Twenty-Eight’ families (Pm). Notable members: Alecto Carrow Amycus Carrow… Read More",
Caspar Crouch,"Caspar Crouch, a member of the pure-blood Crouch family, married Charis Black c. 1940. They had one son and two daughters. Read More",
Cassandra Trelawney,"Cassandra Trelawney was the great-great-grandmother of Sibyll Trelawney. Cassandra was a “very famous, very gifted” Seer in her day (OP37). Read More",
Cassandra Vablatsky,Cassandra Vablatsky was a celebrated Seer and the author of Unfogging the Future (PA4). Read More,
Cassiopeia Black,"(1915-1992) Daughter of Cygnus and Violetta (Bulstrode) Black. 3 siblings: 2 older brothers Pollux (1912-1990) and Marius (disowned, dates unknown),  younger sister Dorea(1920-1977). She never married nor had children. Read More",
Catriona McCormack,"Catriona McCormack was the Captain of and a Chaser for the Quidditch team Pride of Portree in the 1960. She led the team to two league wins during that era. McCormack also played for Scotland thirty-six times. She has a Quidditch-playing daughter, Meaghan, and a musical… Read More",
Cattermole family,"A wizarding family. Notable members include Mary Elizabeth and Reginald Cattermole and their children Alfred, Ellie and Maisie. Read More",
Reginald Cattermole,"Employee of the Magical Maintenance Department for the Ministry of Magic and known as “Reg.” Married to Mary Cattermole and father to three children: Alfred, Ellie, and Maisie (DH13). Accosted by who he thought was Mafalda Hopkirk with a Puking Pastille. Believed to have gone into hiding with his… Read More",
Catullus Spangle,"Spangle was a renowned researcher of Charms in the eighteenth century, notable for his work on Patronuses (and, specifically, the forms which Patronuses take).  The book Charms of Defence and Deterrence is considered his masterwork. Read More",
Cecilia,"The pretty, snobbish girl on a gray horse that Tom Riddle was with when he rode past the Gaunt family shack (“My God, what an eyesore!”) (HBP10). Read More",
Cecily,"Cecily was an American witch who apparently had some sort of romantic history with MACUSA employee Sam, an Obliviator, who handed over Jacob Kowalski to Queenie Goldstein because she threatened to tell Cecily that he was now seeing Ruby, a fellow employee standing nearby (WFT). Read More",
Cedrella Black Weasley,Cedrella Weasley is the mother of Arthur Weasley. Cedrella’s marriage to Septimus Weasley caused her to be “blasted” from the Black Family Tree (BFT). Read More,
Cedric Diggory,"Cedric Diggory was an extremely handsome boy with gray eyes in Hufflepuff House. In 1993, when he was a Fifth Year, he took over as Captain and Seeker of the Hufflepuff Quidditch team. He was a very good student and a Prefect. He is quite tall… Read More",
Celestina Warbeck,"Celestina Warbeck, known as the “Singing Sorceress” (CS3), is, along with the Weird Sisters, one of the two most well-known recording artists in the wizarding world (FW). Read More",
Chadwick Boot,"Chadwick Boot, spellbook author and one of the founders of Ilvermorney wizarding school, was the elder son of wizard parents who foolishly wandered into the wilds of 17th century America and were killed by a Hidebehind. He and his younger brother Webster were rescued by Isolt Sayre, who taught them… Read More",
Chambers,"Chambers was a Chaser on the Ravenclaw Quidditch team during the 1995-96 school year. He attempted to score a goal in the final Quidditch match of 1996, but had it deflected by Keeper Ron Weasley (OP31). Read More",
Cho Chang,"Cho Chang was a popular, pretty Ravenclaw student in the year above Harry who was his girlfriend for awhile. She loved Quidditch — she was a fan of the Tutshill Tornados since she was six — and was the Seeker for the Ravenclaw Quidditch team (PA13,… Read More",
Polly Chapman,"Polly Chapman was an attractive, confident Hogwarts student in the same year as Albus Potter and Scorpius Malfoy – neither of whom she held in particularly high regard. She tended to say rather harsh – but honest – things (CC1.4, CC2.11, CC3.2, CC4.14). Read More",
Charis Black,"Charis (Black) Crouch (1919-1973) Daughter of Arcturus and Lysandra Black. Two older sisters: Callidora and Cedrella (BFT). Married to Caspar Crouch (BFT). Children: One son, two daughters (BFT). Her son may have been Barty Crouch, Sr. Read More",
Charity Burbage,"Charity Burbage was a professor of Muggle Studies at Hogwarts (DH2). She wrote an impassioned defense of Muggle-borns in the Daily Prophet during the summer of 1997; in retaliation, she was taken prisoner, then killed personally by Voldemort less than a week later at Malfoy Manor, at which point… Read More",
Charity Wilkinson,"Charity Wilkinson was one of MACUSA’s original twelve aurors, and its third president (Pm). Read More",
Charlie Baverstock,"Charlie Baverstock is the Manager of New Zealand’s Quidditch Team in 2014. At the 2014 Quidditch World Cup, Baverstock expressed his anger in colourful language after his star Chaser Dennis Moon was sent off by a Referee in their first match of the tournament – a dramatic loss… Read More",
Charlie Weasley,"Charlie Weasley is Ron’s second oldest brother who works with dragons in Romania. Charlie is an “outdoor type” who has spent his whole adult life working with dragons in Romania (CS4, CS14). The second-oldest son of Arthur andMolly Weasley, Charlie is stocky and very freckly (GF4), and he… Read More",
Charlus Potter,"The Black Family Tree mentions a Charlus Potter who was married to Dorea Black (1920-1977), a grandchild of Phineas Nigellus Black (BFT). They had one son (unnamed) (BFT). Read More",
Chastity Barebone,"Chastity Barebone was the oldest adopted No-Maj daughter of Mary Lou Barebone, a Second Salem leader in 1920s New York. She was almost as fervent as her mother in handing out anti-witchcraft leaflets to the orphans who came to eat soup at Second Salem Church (WFT). Chastity died when mother… Read More",
Chauncey Oldridge,"According to his Famous Wizard card, Oldridge was the first known victim of Dragon Pox (FW). Read More",
Glenda Chittock,Glenda Chittock is a popular presenter of the W.W.N. (Wizarding Wireless Network) program Witching Hour (FW).  … Read More,
Herbert Chorley,Herbert Chorley was a Junior Minister to the British (Muggle) Prime Minister… Read More,
The Chosen One,The Chosen One is the child referred to in the Prophecy made by seer Sybill Trelawney – the child who will be the one to defeat the Dark Lord. The Prophecy is made in front of Albus Dumbledore when he is interviewing Trelawney for a position… Read More,
Agatha Chubb,Agatha Chubb was a witch whose expertise was in ancient wizarding artefacts. While researching the Quidditch practices of the 16th century she discovered twelve Bludgers made of lead in peat bogs and marshes in Great Britain and Ireland (QA6). She used her finds to show how modern… Read More,
Winston Churchill,"Sir Winston Leonard Spencer-Churchill was Muggle Prime Minister in London during World War II and for another term in the 1950s. He was paralleled in the Wizarding World by Leonard Spencer-Moon, and they shared a good working relationship. Read More",
Ciceron Harkiss,"Ciceron Harkiss was the wizard who gave Ambrosius Flume (owner of Honeydukes) his first job. Favored student of Horace Slughorn, probably a member of the Slug Club (HBP4). Read More",
Circe,"Circe was an ancient Greek sorceress who lived on an island called Aeaea, near Italy; she was partial to transfiguring sailors into pigs (FW). Harry collected her Chocolate Frog Card during his first trip on the Hogwarts Express (PS6). Read More",
Elfrida Clagg,Elfrida Clagg was the Chieftainess of Warlock’s Council (JKR). * The dates given on Clagg’s Chocolate Frog card (1612-1687) conflict with information from QA4 which says she was the “Chief of the Wizard’s Council” in the mid-1300s. The portrait of the similarly named Elfrida Cragg in the Ministry… Read More,
Clairvius Hyppolite,"Clairvius Hyppolite was a Chaser for the Haiti’s National Team at the 2014 Quidditch World Cup tournament (Pm). Hyppolite was the star player on Haiti’s side at the 2014 tournament, responsible for eight of their nine goals during their opening match against the Brazilian national side, although… Read More",
Clarisse Tremblay,,
Ptolemy,"Claudius Ptolemy was a Greco-Roman Egyptian geographer and astronomer. On their first train-ride to Hogwarts, Ron was hoping to get a Ptolemy Chocolate Frog Card (PS6).    … Read More",
Penelope Clearwater,"Penelope Clearwater was the girlfriend of Percy Weasley while at Hogwarts, though their relationship was kept a secret for quite some time. They began dating in their fifth year. She has long curly hair (CS12). Penelope was Sorted into Ravenclaw and attended Hogwarts from1987 – 1994. She is a prefect from 1992 to 1994. Read More",
Cliodna,"Cliodna (also spelt Cliodne) was a beautiful medieval Irish druidess and an Animagus, whose three magical birds could cure the sick with their healing songs (FW). Read More",
Carlos Clodoaldo,"Carlos Clodoaldo is a Beater for Brazil’s National Team in at the Quidditch World Cup in 2014. A participant in the 2014 tournament alongside fellow Beater Rafael Santos, Clodoaldo helped secure Brazil’s victory in their hard-fought two day semi-final against the Americans with a “precision-hit Bludger” directed at Seeker… Read More",
Edgar Cloggs,Edgar Cloggs is a ghost who has been hanging around the Hogwarts Quidditch pitch as long as anyone can remember. Edgar was obviously a pretty good player in his day (Games). Read More,
João Coelho,João Coelho is a Quidditch player and the Captain of the Tarapoto Tree-Skimmers team. He attended the Castelobruxo Wizarding School in Brazil (Pm). Read More,
Mrs. Cole,"Mrs. Cole was the matron of Tom Riddle’s orphanage. She was interviewed c. 1937 by Dumbledore and told him the circumstances of Tom’s birth and about his anti-social behavior (HBP13). Described as a “skinny, harassed-looking woman” with a “sharp-featured face that appeared more anxious than unkind” (HBP13).  Harry… Read More",
Colin Creevey,"Colin Creevey was a very excitable, rather short boy with mousy brown hair who was just tickled to death to discover that he was a wizard and to find out about Hogwarts (his father is a Muggle milkman, so Colin is Muggle-born). Colin is very excited to know the famous… Read More",
Colonel Fubster,Colonel Fubster was a Muggle neighbor of Aunt Marge Dursley. Fubster cared for Marge’s other dogs besides Ripper when she visited Vernon and Petunia on Privet Drive (PA2). Marge had a secret love for him but it remained unrequited due to her “truly horrible personality.” Her longing for Col. Fubster was… Read More,
Magenta Comstock,"Magenta Comstock was an artist who specialised in painting portraits with magical eyes, which follow viewers both while inside the gallery but also back to their homes (JKR, WoM). Read More",
Connolly,"Connolly was a Beater for Ireland’s National Team at the Quidditch World Cup in 1994. Along with fellow Beater Quigley, Connolly was part of the Irish team in the 1994 final final, all of whom were riding Firebolt brooms. He and Moran, one of the Chasers,… Read More",
cook at the Riddle House,The cook at the Riddle House was a cook employed at the Riddle household at the time of the family’s murders. Read More,
Buckley Cooper,Buckley Cooper was a wizard who wrote a letter to the Daily Prophet asking for legal advice on the running feud he’d been having with his brother (DP3)… Read More,
Howland Coopey,Howland Coopey was a wizard whose letter was published on the Problem Page of the Daily Prophet (DP3)… Read More,
Ritchie Coote,Ritchie Coote was a student at Hogwarts in Gryffindor House. He was a Beater on the Gryffindor Quidditch team for the 1996-1997 school year (HBP11). Read More,
Corban Yaxley,"Corban Yaxley was a Death Eater with a prominent role during Voldemort’s second rise to power.  According to Snape, Yaxley denied Voldemort to escape Azkaban when Voldemort disappeared after attacking the Potters (HBP2). Three days after Voldemort was reborn in the Little Hangleton graveyard, Yaxley was dispatched to find Horace… Read More",
Cordelia Misericordia,Cordelia Misericordia was a hag who lived in the 14th century. She represented hags at a summit of the Wizard’s Council. Read More,
Cormac O’Brien,Cormac O’Brien was one of MACUSA’s original twelve aurors (Pm). Read More,
Cormack McLeod,"Cormack McLeod was the manager of the Montrose Magpies Quidditch team in the 1990s. McLeod tried to defend his Chaser, Alasdair Maddock, after he kicked the Snitch towards the Keeper, resulting in a loss to the Kenmare Kestrels. He threatened to turn Maddock into a jellyfish should… Read More",
Cormac McLaggen,"Cormac McLaggen was a “large, wiry-haired youth” and member of the Slug Club. He had a famous “Uncle Tiberius” who was a favorite student of Horace Slughorn’s (HBP7). During his seventh year Cormac tried out for Keeper of the Gryffindor Quidditch team, but was beaten… Read More",
Cornelius Agrippa,"Heinrich Cornelius Agrippa von Nettesheim was scholar and author who wrote on many topics, including the occult. He appears on a Chocolate Frog trading card, which reads “celebrated wizard imprisoned by Muggles for his writing, because they thought his books were evil” (FW, PS6, CF). In September 1991, Ron… Read More",
Cornelius Fudge,"Minister of Magic 1990-1996 (HBP1) and previously Junior Minister in the Department of Magical Accidents and Catatrophes (PA10). Cornelius Oswald Fudge was Minister of Magic from 1990 (according to The Quibbler, OP10) until June 1996 when he was replaced by Rufus Scrimgeour. Read More",
Michael Corner,"Ravenclaw, 1991 – 1998 Michael is a dark-haired boy who met Ginny Weasley at the Yule Ball and began dating her at the end of the 1994 – 1995 school year; through Ginny, Michael and his friends joined the DA (OP16). Michael sulked so much after Gryffindor defeated… Read More",
Corvinus Gaunt,"An 18th-century descendant of Salazar Slytherin who made sure the hidden entrance to the Chamber of Secrets was well-protected when “new-fangled plumbing” was built around it, which later became Moaning Myrtle’s bathroom (Pm:Chamber of Secrets). Obviously Corvinus was a Parselmouth, like many in the Slytherin family line, including Tom Riddle. Read More",
Corvus Lestrange Jr.,"Corvus Lestrange Jr (aka Corvus Lestrange V) was a French wizard and a member of the pure-blood Lestrange family. He was the son of Corvus Lestrange and Clarisse Tremblay (CGf). He died as an infant when the ship carrying him and his half-sister, Leta, to America sank in the Atlantic… Read More",
Corvus Lestrange Sr.,"Corvus Lestrange was a French wizard and a member of the pure-blood Lestrange family, the fourth in his line with the name Corvus. He seduced and abducted Laurena Kama with an Imperious Curse and had a daughter with her, Leta Lestrange. When Laurena died, he married again and had a… Read More",
Gregory Cotton,"Gregory Cotton played Seeker for the Appleby Arrows Quidditch team in the 1990s (DP3). Following an airborne scuffle with Pride of Portree seeker Dougal McBride (resulting in Cotton’s winning the Snitch), his head was transfigured into a cabbage by his irate opposite number. The Referee discovered that both Seekers… Read More",
Count Vlad Drakul,Notorious vampire who inspired the fictional Count Dracula created by Bram Stoker. Father of Vlad the Impaler. Read More,
"second cousin, the accountant",Molly Weasley’s second cousin is not a wizard but an accountant. This mundane profession is enough to embarrass the rest of the family; Ron says that they never talk about him (PS6). Read More,
Cousin Barny,A red-haired Muggle boy whose appearance Harry uses in his “Cousin Barny” role at Bill and Fleur’s wedding (DH8). Read More,
Crabbe Sr.,"Crabbe Sr. is a Death Eater and the father of Vincent Crabbe. Like his son, Mr. Crabbe is a large fellow — one of the two largest Death Eaters to attend Voldemort’s ‘rebirthing party’ — and a bit dim (GF33, OP26). Read More",
Crabbe family,"The Crabbe family is a most likely a pure-blood wizarding family, owing to their close ties to Lord Voldemort. Like many who supported the Dark Lord, they had prejudices against Muggles, Muggle-borns, and sympathizers. Notable members include Vincent Crabbe and Crabbe Sr. who was a Death Eater. Read More",
Ellen Cracknell,"Ellen Cracknell was a Muggle woman and a member of the Umbridge family. She was married to a wizard named Orford Umbridge. The couple had two children together. The first was Dolores Umbridge. Their younger child, a son, was a squib. Although they were married for more than fifteen years,… Read More",
Elfrida Cragg,Elfrida Cragg is a witch whose portrait hangs in St. Mungo’s. Everard ran into her portrait to watch what happened to Arthur Weasley after he had been injured in order to report back to Dumbledore (OP22). Read More,
Craig Bowker Jr.,Craig Bowker Jr. was a Slytherin Hogwarts student. Read More,
Credence Barebone,"Credence Barebone appears to be the adopted son of Mary Lou Barebone, a fanatical leader of the anti-magic Second Salem Philanthropic Society in 1920s New York. Along with his two adopted sisters, he would often help his mother and the Second Salemers by hanging up posters, finding places to… Read More",
Creevey family,"The Creevey family is a Muggle family, though Colin and Dennis Creevey both are born wizards and enter Hogwarts in the 1990s as Gryffindors. Read More",
Mr. Creevey,"Mr. Creevey was a Muggle milkman and the father of Muggle-born wizards Colin and Dennis Creevey. Mr. Creevey got glimpses of his sons’ school life through photos that Colin sent home to him (CS5, CS6, GF12). Read More",
Mrs. Cresswell,,
Dirk Cresswell,"Dirk Cresswell was a gifted Muggle-born student who went on to become the Head of the Goblin Liaison Office (HBP4). He attended Hogwarts from 1972 to 1979, a year below Lily and the Marauders, and was one of Slughorn’s favourite students (and so probably a member of the Slug… Read More",
Cresswell family,"The Cresswells are a Wizarding family. Notable members are Dirk Cresswell, his wife and sons. Read More",
Cresswell sons,,
